model_nm,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,rpt_dt,sales_through_dt
SIERRA T1EGF LD DBL           ,90,109,0,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SIERRA T1EGH HD DBL           ,35,104,1,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SIERRA T1RGF LD REG           ,54,71,1,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SIERRA T1RGH HD REG           ,39,73,1,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SILVERADO T1CCF LD CREW       ,1075,1358,18,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SILVERADO T1CCH HD CREW       ,491,667,6,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SILVERADO T1ECF LD DBL        ,48,158,2,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SILVERADO T1ECH HD DBL        ,118,200,5,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SILVERADO T1RCF LD REG        ,29,64,2,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SILVERADO T1RCH HD REG        ,166,186,4,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SILVERADO 4500/5500           ,200,256,-1,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SPARK M2JC                    ,1,0,0,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
SUBURBAN T1YCF                ,40,52,1,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
TAHOE T1UCF                   ,89,112,3,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
TERRAIN D2UG                  ,73,76,1,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
TRAILBLAZER 9BYC              ,-10,4,0,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
TRAVERSE C1YC                 ,104,86,-1,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
TRAX G1UC                     ,2,0,0,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
TRAX-K G1UC                   ,19,44,0,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
VAN-E LCV BV1HX               ,0,0,0,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
XT4 E2UL                      ,0,3,0,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
XT5 C1UL                      ,12,6,0,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
XT6 C1TL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
YUKON T1UGF                   ,62,49,2,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
YUKON XL T1YGF                ,57,44,1,0,0,0,0,0,0,0,0,0,3/2/2022,3/1/2022
ACADIA C1UG                   ,8,1,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
BLAZER C1UC                   ,23,27,2,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
BOLT C110                     ,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
BOLT EUV C121                 ,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
CAMARO A1AC CONV              ,0,2,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
CAMARO A1BC COUPE             ,1,1,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
CANYON 31CG2                  ,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
CANYON 31XGN                  ,48,43,1,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
COLORADO 31CC2                ,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
COLORADO 31XCN                ,282,207,6,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
CORVETTE Y200                 ,3,1,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
CT4 A2SL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
CT5 A2LL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
ENCLAVE C1YB                  ,1,15,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
ENCORE GX 9BUB                ,6,13,1,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
ENCORE G1UB                   ,6,21,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
ENVISION E2UB                 ,4,4,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
EQUINOX D2UC                  ,194,331,8,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
ESCALADE ESV T1YLF            ,10,7,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
ESCALADE T1ULF                ,7,7,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
EXPRESS VAN 610               ,532,696,33,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
LCF DSL-JP I-700N             ,9,22,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
LCF GAS-US I-700N             ,129,118,3,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
LCF 6500XD I-700N             ,0,1,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
LYRIQ L233                    ,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
MALIBU E2SC                   ,84,54,2,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
PICKUP-E BEV BT1FG            ,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SAVANA VAN 610                ,57,88,2,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SIERRA T1CGF LD CREW          ,368,402,14,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SIERRA T1CGH HD CREW          ,229,333,16,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SIERRA T1EGF LD DBL           ,90,109,1,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SIERRA T1EGH HD DBL           ,35,104,4,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SIERRA T1RGF LD REG           ,54,71,1,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SIERRA T1RGH HD REG           ,39,73,2,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SILVERADO T1CCF LD CREW       ,1075,1358,56,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SILVERADO T1CCH HD CREW       ,491,666,23,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SILVERADO T1ECF LD DBL        ,48,158,9,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SILVERADO T1ECH HD DBL        ,118,200,16,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SILVERADO T1RCF LD REG        ,29,64,8,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SILVERADO T1RCH HD REG        ,166,186,10,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SILVERADO 4500/5500           ,200,256,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SPARK M2JC                    ,1,0,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
SUBURBAN T1YCF                ,40,52,3,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
TAHOE T1UCF                   ,89,112,5,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
TERRAIN D2UG                  ,73,76,1,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
TRAILBLAZER 9BYC              ,-10,4,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
TRAVERSE C1YC                 ,103,86,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
TRAX G1UC                     ,2,0,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
TRAX-K G1UC                   ,19,44,1,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
VAN-E LCV BV1HX               ,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
XT4 E2UL                      ,0,3,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
XT5 C1UL                      ,12,6,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
XT6 C1TL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
YUKON T1UGF                   ,62,49,3,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
YUKON XL T1YGF                ,57,44,2,0,0,0,0,0,0,0,0,0,3/3/2022,3/2/2022
ACADIA C1UG                   ,8,1,3,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
BLAZER C1UC                   ,23,27,2,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
BOLT C110                     ,0,0,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
BOLT EUV C121                 ,0,0,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
CAMARO A1AC CONV              ,0,2,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
CAMARO A1BC COUPE             ,1,1,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
CANYON 31CG2                  ,0,0,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
CANYON 31XGN                  ,48,43,1,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
COLORADO 31CC2                ,0,0,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
COLORADO 31XCN                ,282,206,10,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
CORVETTE Y200                 ,3,1,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
CT4 A2SL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
CT5 A2LL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
ENCLAVE C1YB                  ,1,15,1,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
ENCORE GX 9BUB                ,6,13,1,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
ENCORE G1UB                   ,6,21,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
ENVISION E2UB                 ,4,4,1,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
EQUINOX D2UC                  ,194,331,19,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
ESCALADE ESV T1YLF            ,10,7,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
ESCALADE T1ULF                ,7,7,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
EXPRESS VAN 610               ,532,693,84,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
LCF DSL-JP I-700N             ,9,22,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
LCF GAS-US I-700N             ,129,118,4,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
LCF 6500XD I-700N             ,0,1,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
LYRIQ L233                    ,0,0,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
MALIBU E2SC                   ,84,54,3,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
PICKUP-E BEV BT1FG            ,0,0,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SAVANA VAN 610                ,57,88,2,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SIERRA T1CGF LD CREW          ,368,403,22,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SIERRA T1CGH HD CREW          ,229,333,31,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SIERRA T1EGF LD DBL           ,90,109,1,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SIERRA T1EGH HD DBL           ,35,104,11,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SIERRA T1RGF LD REG           ,54,71,3,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SIERRA T1RGH HD REG           ,39,73,6,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SILVERADO T1CCF LD CREW       ,1075,1357,90,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SILVERADO T1CCH HD CREW       ,491,665,45,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SILVERADO T1ECF LD DBL        ,48,158,9,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SILVERADO T1ECH HD DBL        ,118,199,24,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SILVERADO T1RCF LD REG        ,29,64,11,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SILVERADO T1RCH HD REG        ,166,186,14,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SILVERADO 4500/5500           ,200,256,4,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SPARK M2JC                    ,1,0,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
SUBURBAN T1YCF                ,40,52,6,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
TAHOE T1UCF                   ,89,112,5,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
TERRAIN D2UG                  ,73,76,1,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
TRAILBLAZER 9BYC              ,-10,4,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
TRAVERSE C1YC                 ,103,86,3,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
TRAX G1UC                     ,2,0,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
TRAX-K G1UC                   ,19,44,1,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
VAN-E LCV BV1HX               ,0,0,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
XT4 E2UL                      ,0,3,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
XT5 C1UL                      ,12,6,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
XT6 C1TL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
YUKON T1UGF                   ,62,49,6,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
YUKON XL T1YGF                ,57,44,2,0,0,0,0,0,0,0,0,0,3/4/2022,3/3/2022
ACADIA C1UG                   ,8,1,4,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
BLAZER C1UC                   ,23,27,3,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
BOLT C110                     ,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
BOLT EUV C121                 ,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
CAMARO A1AC CONV              ,0,2,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
CAMARO A1BC COUPE             ,1,1,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
CANYON 31CG2                  ,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
CANYON 31XGN                  ,48,43,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
COLORADO 31CC2                ,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
COLORADO 31XCN                ,282,206,20,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
CORVETTE Y200                 ,3,1,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
CT4 A2SL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
CT5 A2LL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
ENCLAVE C1YB                  ,1,15,2,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
ENCORE GX 9BUB                ,6,13,1,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
ENCORE G1UB                   ,6,21,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
ENVISION E2UB                 ,4,4,1,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
EQUINOX D2UC                  ,194,331,26,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
ESCALADE ESV T1YLF            ,10,7,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
ESCALADE T1ULF                ,7,7,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
EXPRESS VAN 610               ,532,693,94,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
LCF DSL-JP I-700N             ,8,22,2,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
LCF GAS-US I-700N             ,129,118,5,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
LCF 6500XD I-700N             ,0,1,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
LYRIQ L233                    ,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
MALIBU E2SC                   ,84,54,3,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
PICKUP-E BEV BT1FG            ,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SAVANA VAN 610                ,57,88,6,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SIERRA T1CGF LD CREW          ,368,402,30,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SIERRA T1CGH HD CREW          ,229,333,38,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SIERRA T1EGF LD DBL           ,90,109,1,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SIERRA T1EGH HD DBL           ,35,104,14,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SIERRA T1RGF LD REG           ,54,71,5,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SIERRA T1RGH HD REG           ,39,73,6,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SILVERADO T1CCF LD CREW       ,1075,1357,145,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SILVERADO T1CCH HD CREW       ,491,665,62,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SILVERADO T1ECF LD DBL        ,48,158,17,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SILVERADO T1ECH HD DBL        ,118,199,41,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SILVERADO T1RCF LD REG        ,29,64,18,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SILVERADO T1RCH HD REG        ,165,185,17,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SILVERADO 4500/5500           ,200,256,14,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SPARK M2JC                    ,1,0,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
SUBURBAN T1YCF                ,40,52,9,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
TAHOE T1UCF                   ,89,112,7,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
TERRAIN D2UG                  ,73,76,7,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
TRAILBLAZER 9BYC              ,-10,4,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
TRAVERSE C1YC                 ,103,86,5,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
TRAX G1UC                     ,2,0,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
TRAX-K G1UC                   ,19,44,2,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
VAN-E LCV BV1HX               ,0,0,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
XT4 E2UL                      ,0,3,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
XT5 C1UL                      ,12,6,7,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
XT6 C1TL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
YUKON T1UGF                   ,62,49,9,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
YUKON XL T1YGF                ,57,44,2,0,0,0,0,0,0,0,0,0,3/5/2022,3/4/2022
ACADIA C1UG                   ,8,1,4,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
BLAZER C1UC                   ,23,27,3,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
BOLT C110                     ,0,0,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
BOLT EUV C121                 ,0,0,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
CAMARO A1AC CONV              ,0,2,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
CAMARO A1BC COUPE             ,1,1,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
CANYON 31CG2                  ,0,0,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
CANYON 31XGN                  ,48,43,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
COLORADO 31CC2                ,0,0,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
COLORADO 31XCN                ,282,206,21,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
CORVETTE Y200                 ,3,1,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
CT4 A2SL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
CT5 A2LL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
ENCLAVE C1YB                  ,1,15,2,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
ENCORE GX 9BUB                ,6,13,1,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
ENCORE G1UB                   ,6,21,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
ENVISION E2UB                 ,4,4,1,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
EQUINOX D2UC                  ,194,331,29,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
ESCALADE ESV T1YLF            ,10,7,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
ESCALADE T1ULF                ,7,7,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
EXPRESS VAN 610               ,532,693,99,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
LCF DSL-JP I-700N             ,8,22,2,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
LCF GAS-US I-700N             ,129,118,8,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
LCF 6500XD I-700N             ,0,1,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
LYRIQ L233                    ,0,0,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
MALIBU E2SC                   ,84,54,3,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
PICKUP-E BEV BT1FG            ,0,0,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SAVANA VAN 610                ,57,88,6,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SIERRA T1CGF LD CREW          ,368,402,30,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SIERRA T1CGH HD CREW          ,229,333,43,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SIERRA T1EGF LD DBL           ,90,109,1,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SIERRA T1EGH HD DBL           ,35,104,14,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SIERRA T1RGF LD REG           ,54,71,9,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SIERRA T1RGH HD REG           ,39,73,5,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SILVERADO T1CCF LD CREW       ,1075,1357,153,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SILVERADO T1CCH HD CREW       ,491,666,66,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SILVERADO T1ECF LD DBL        ,48,158,20,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SILVERADO T1ECH HD DBL        ,118,199,43,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SILVERADO T1RCF LD REG        ,29,64,20,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SILVERADO T1RCH HD REG        ,165,185,17,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SILVERADO 4500/5500           ,200,256,16,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SPARK M2JC                    ,1,0,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
SUBURBAN T1YCF                ,40,52,10,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
TAHOE T1UCF                   ,89,112,5,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
TERRAIN D2UG                  ,73,76,10,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
TRAILBLAZER 9BYC              ,-10,4,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
TRAVERSE C1YC                 ,103,86,4,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
TRAX G1UC                     ,2,0,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
TRAX-K G1UC                   ,19,44,2,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
VAN-E LCV BV1HX               ,0,0,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
XT4 E2UL                      ,0,3,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
XT5 C1UL                      ,12,6,7,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
XT6 C1TL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
YUKON T1UGF                   ,62,49,9,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
YUKON XL T1YGF                ,57,44,2,0,0,0,0,0,0,0,0,0,3/6/2022,3/5/2022
ACADIA C1UG                   ,8,1,4,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
AV A110                       ,0,0,0,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
BLAZER C1UC                   ,23,27,3,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
BOLT C110                     ,0,0,0,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
BOLT EUV C121                 ,0,0,0,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
CAMARO A1AC CONV              ,0,2,0,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
CAMARO A1BC COUPE             ,1,1,0,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
CANYON 31CG2                  ,0,0,0,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
CANYON 31XGN                  ,48,44,2,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
COLORADO 31CC2                ,0,0,0,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
COLORADO 31XCN                ,282,206,39,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
CORVETTE Y200                 ,3,1,0,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
CT4 A2SL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
CT5 A2LL                      ,0,2,0,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
ENCLAVE C1YB                  ,1,15,5,0,0,0,0,0,0,0,0,0,3/8/2022,3/7/2022
