model_nm,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,rpt_dt,sales_through_dt
EQUINOX D2UC                  ,559,486,471,403,300,264,305,323,0,0,0,0,8/29/2023,8/28/2023
EQUINOX EV C223               ,0,0,0,0,0,0,0,0,0,0,0,0,8/29/2023,8/28/2023
ESCALADE ESV T1YLF            ,-8,-5,6,7,10,8,4,2,0,0,0,0,8/29/2023,8/28/2023
ESCALADE T1ULF                ,2,4,10,2,9,8,5,8,0,0,0,0,8/29/2023,8/28/2023
EXPRESS VAN 610               ,880,803,991,510,513,683,894,898,0,0,0,0,8/29/2023,8/28/2023
HUM BEV BT1UG                 ,0,0,0,0,0,0,0,0,0,0,0,0,8/29/2023,8/28/2023
LCF DSL-JP I-700N             ,2,0,0,-1,-1,-1,3,2,0,0,0,0,8/29/2023,8/28/2023
LCF GAS-US I-700N             ,25,39,16,60,49,49,38,6,0,0,0,0,8/29/2023,8/28/2023
LCF 6500XD I-700N             ,5,2,2,9,9,5,4,2,0,0,0,0,8/29/2023,8/28/2023
LYRIQ L233                    ,0,1,0,2,0,0,1,-1,0,0,0,0,8/29/2023,8/28/2023
MALIBU E2SC                   ,133,111,120,91,51,39,23,57,0,0,0,0,8/29/2023,8/28/2023
PICKUP-E BEV BT1FG            ,0,0,0,0,0,0,0,1,0,0,0,0,8/29/2023,8/28/2023
SAVANA VAN 610                ,62,49,78,49,115,156,267,243,0,0,0,0,8/29/2023,8/28/2023
SIERRA T1CGF LD CREW          ,497,479,516,444,375,370,322,321,0,0,0,0,8/29/2023,8/28/2023
SIERRA T1CGH HD CREW          ,339,309,341,309,305,341,246,211,0,0,0,0,8/29/2023,8/28/2023
SIERRA T1EGF LD DBL           ,47,64,105,121,101,167,196,120,0,0,0,0,8/29/2023,8/28/2023
SIERRA T1EGH HD DBL           ,24,47,61,52,97,108,119,131,0,0,0,0,8/29/2023,8/28/2023
SIERRA T1RGF LD REG           ,24,22,26,12,33,50,53,70,0,0,0,0,8/29/2023,8/28/2023
SIERRA T1RGH HD REG           ,32,80,86,84,111,118,127,108,0,0,0,0,8/29/2023,8/28/2023
SILVERADO EV BT1CC            ,0,0,0,0,0,0,0,0,0,0,0,0,8/29/2023,8/28/2023
SILVERADO T1CCF LD CREW       ,1536,1608,1799,1350,1218,1165,1071,890,0,0,0,0,8/29/2023,8/28/2023
SILVERADO T1CCH HD CREW       ,616,595,867,934,1068,1039,910,851,0,0,0,0,8/29/2023,8/28/2023
SILVERADO T1ECF LD DBL        ,111,117,151,181,167,166,271,197,0,0,0,0,8/29/2023,8/28/2023
SILVERADO T1ECH HD DBL        ,140,166,174,219,207,172,116,91,0,0,0,0,8/29/2023,8/28/2023
SILVERADO T1RCF LD REG        ,44,15,25,9,11,24,14,23,0,0,0,0,8/29/2023,8/28/2023
SILVERADO T1RCH HD REG        ,64,55,87,92,155,240,199,158,0,0,0,0,8/29/2023,8/28/2023
SILVERADO 4500/5500           ,128,246,253,94,31,129,365,236,0,0,0,0,8/29/2023,8/28/2023
SPARK M2JC                    ,2,0,1,2,0,0,0,1,0,0,0,0,8/29/2023,8/28/2023
SUBURBAN T1YCF                ,33,50,88,55,79,85,70,107,0,0,0,0,8/29/2023,8/28/2023
TAHOE T1UCF                   ,86,76,126,118,104,153,124,117,0,0,0,0,8/29/2023,8/28/2023
TERRAIN D2UG                  ,51,67,65,53,63,74,86,38,0,0,0,0,8/29/2023,8/28/2023
TRAILBLAZER 9BYC              ,45,83,55,62,43,72,75,77,0,0,0,0,8/29/2023,8/28/2023
TRAVERSE C1YC                 ,132,155,212,154,140,145,172,179,0,0,0,0,8/29/2023,8/28/2023
TRAVERSE C1YC2                ,0,0,0,0,0,0,0,0,0,0,0,0,8/29/2023,8/28/2023
TRAX 9BQC1                    ,0,0,0,2,28,34,40,48,0,0,0,0,8/29/2023,8/28/2023
TRAX-K G1UC                   ,34,38,35,13,10,2,0,1,0,0,0,0,8/29/2023,8/28/2023
XT4 E2UL                      ,2,1,1,0,2,1,0,0,0,0,0,0,8/29/2023,8/28/2023
XT5 C1UL                      ,96,70,92,70,112,83,58,49,0,0,0,0,8/29/2023,8/28/2023
XT6 C1TL                      ,0,0,-4,-11,-5,-1,-2,1,0,0,0,0,8/29/2023,8/28/2023
YUKON T1UGF                   ,25,27,44,62,47,70,67,54,0,0,0,0,8/29/2023,8/28/2023
YUKON XL T1YGF                ,27,38,72,32,47,57,52,57,0,0,0,0,8/29/2023,8/28/2023
