"DSC_CTY"|"COD_DAY"|"SHT_COD_MNT"|"DSC_ENG_GRP_RNV"|"DSC_OPR_REG"|QTY_LIC_DAY
"BRAZIL"|"2023-12-12"|"12"|"TRUCKS"|"Fortaleza"|8
"BRAZIL"|"2023-12-14"|"12"|"PASSENGER"|"Interior paulista a"|520
"BRAZIL"|"2023-12-14"|"12"|"PASSENGER"|"Centro oeste"|513
"BRAZIL"|"2023-12-14"|"12"|"PASSENGER"|"Recife"|709
"BRAZIL"|"2023-12-14"|"12"|"LIGHT COMMERCIAL"|"Belo horizonte"|743
"BRAZIL"|"2023-12-14"|"12"|"LIGHT COMMERCIAL"|"Porto alegre"|157
"BRAZIL"|"2023-12-14"|"12"|"BUS"|"Parana"|4
"BRAZIL"|"2023-12-14"|"12"|"LIGHT COMMERCIAL"|"Espirito santo"|43
"BRAZIL"|"2023-12-14"|"12"|"LIGHT COMMERCIAL"|"Fortaleza"|73
"BRAZIL"|"2023-10-31"|"10"|"TRUCKS"|"Porto alegre"|36
"BRAZIL"|"2023-10-31"|"10"|"TRUCKS"|"Sao paulo"|51
"BRAZIL"|"2023-12-13"|"12"|"PASSENGER"|"Interior mg"|152
"BRAZIL"|"2023-12-13"|"12"|"LIGHT COMMERCIAL"|"Brasilia"|60
"BRAZIL"|"2023-12-14"|"12"|"TRUCKS"|"Interior paulista b"|35
"BRAZIL"|"2023-12-08"|"12"|"PASSENGER"|"Espirito santo"|86
"BRAZIL"|"2023-12-08"|"12"|"BUS"|"Brasilia"|4
"BRAZIL"|"2023-12-08"|"12"|"TRUCKS"|"Belo horizonte"|6
"BRAZIL"|"2023-10-31"|"10"|"TRUCKS"|"Recife"|23
"BRAZIL"|"2023-10-31"|"10"|"TRUCKS"|"Interior mg"|37
"BRAZIL"|"2023-12-13"|"12"|"TRUCKS"|"Fortaleza"|13
"BRAZIL"|"2023-12-08"|"12"|"TRUCKS"|"Rio de janeiro"|18
"BRAZIL"|"2023-12-12"|"12"|"BUS"|"Brasilia"|12
"BRAZIL"|"2023-12-08"|"12"|"BUS"|"Interior paulista a"|10
"BRAZIL"|"2023-12-14"|"12"|"BUS"|"Interior mg"|8
"BRAZIL"|"2023-12-14"|"12"|"TRUCKS"|"Interior paulista a"|28
"BRAZIL"|"2023-10-31"|"10"|"TRUCKS"|"Brasilia"|1
"BRAZIL"|"2023-12-12"|"12"|"BUS"|"Interior paulista a"|7
"BRAZIL"|"2023-12-12"|"12"|"BUS"|"Rio de janeiro"|10
"BRAZIL"|"2023-12-14"|"12"|"BUS"|"Sao paulo"|6
